src,dst,one_way_ms,nlinks
ATLA,CLEM,14.5525,2
ATLA,DALL,8.3410,1
ATLA,EDC,21.1330,5
ATLA,EDUKY,23.8331,4
ATLA,FIU,6.2825,1
ATLA,GATECH,13.3645,2
ATLA,GPN,13.0170,3
ATLA,HAWI,50.3970,3
ATLA,INDI,22.1625,4
ATLA,KANS,12.8795,2
ATLA,LOSA,25.8355,2
ATLA,MASS,10.3290,3
ATLA,MAX,7.2385,2
ATLA,MICH,22.3980,4
ATLA,NCSA,21.0830,4
ATLA,NEWY,8.9095,2
ATLA,PRIN,9.5765,3
ATLA,PSC,9.4345,2
ATLA,RUTG,9.4220,3
ATLA,SALT,22.8090,3
ATLA,SEAT,38.1140,3
ATLA,SRI,29.9040,3
ATLA,STAR,19.8485,3
ATLA,TACC,30.9917,4
ATLA,UCSD,26.9840,3
ATLA,UTAH,22.9160,4
ATLA,WASH,6.3680,1
CLEM,ATLA,14.5525,2
CLEM,DALL,22.8935,3
CLEM,EDC,22.9495,5
CLEM,EDUKY,25.6496,4
CLEM,FIU,20.8350,3
CLEM,GATECH,15.1810,2
CLEM,GPN,27.5695,5
CLEM,HAWI,64.9495,5
CLEM,INDI,23.9790,4
CLEM,KANS,27.4320,4
CLEM,LOSA,40.3880,4
CLEM,MASS,12.1455,3
CLEM,MAX,9.0550,2
CLEM,MICH,24.2145,4
CLEM,NCSA,22.8995,4
CLEM,NEWY,10.7260,2
CLEM,PRIN,11.3930,3
CLEM,PSC,11.2510,2
CLEM,RUTG,11.2385,3
CLEM,SALT,37.0390,4
CLEM,SEAT,52.6665,5
CLEM,SRI,44.4565,5
CLEM,STAR,21.6650,3
CLEM,TACC,32.8082,4
CLEM,UCSD,41.5365,5
CLEM,UTAH,37.1460,5
CLEM,WASH,8.1845,1
DALL,ATLA,8.3410,1
DALL,CLEM,22.8935,3
DALL,EDC,11.3215,4
DALL,EDUKY,14.0216,3
DALL,FIU,14.6235,2
DALL,GATECH,21.7055,3
DALL,GPN,4.6760,2
DALL,HAWI,42.0560,2
DALL,INDI,12.3510,3
DALL,KANS,4.5385,1
DALL,LOSA,17.4945,1
DALL,MASS,22.3955,4
DALL,MAX,15.5795,3
DALL,MICH,12.5865,3
DALL,NCSA,11.2715,3
DALL,NEWY,20.9760,3
DALL,PRIN,21.6430,4
DALL,PSC,17.7755,3
DALL,RUTG,21.4885,4
DALL,SALT,14.4680,2
DALL,SEAT,29.7730,2
DALL,SRI,21.5630,2
DALL,STAR,10.0370,2
DALL,TACC,21.1802,3
DALL,UCSD,18.6430,2
DALL,UTAH,14.5750,3
DALL,WASH,14.7090,2
EDC,ATLA,21.1330,5
EDC,CLEM,22.9495,5
EDC,DALL,11.3215,4
EDC,EDUKY,5.2691,3
EDC,FIU,27.4155,6
EDC,GATECH,21.7615,5
EDC,GPN,6.9205,4
EDC,HAWI,47.3410,5
EDC,INDI,3.5985,3
EDC,KANS,6.7830,3
EDC,LOSA,22.7795,4
EDC,MASS,13.6430,4
EDC,MAX,15.6355,5
EDC,MICH,3.8340,3
EDC,NCSA,0.0500,1
EDC,NEWY,12.2235,3
EDC,PRIN,12.8905,4
EDC,PSC,17.8315,5
EDC,RUTG,12.7360,4
EDC,SALT,16.6585,3
EDC,SEAT,35.0580,5
EDC,SRI,26.8480,5
EDC,STAR,1.2845,2
EDC,TACC,12.4277,3
EDC,UCSD,23.9280,5
EDC,UTAH,16.7655,4
EDC,WASH,14.7650,4
EDUKY,ATLA,23.8331,4
EDUKY,CLEM,25.6496,4
EDUKY,DALL,14.0216,3
EDUKY,EDC,5.2691,3
EDUKY,FIU,30.1156,5
EDUKY,GATECH,24.4616,4
EDUKY,GPN,9.6206,3
EDUKY,HAWI,50.0411,4
EDUKY,INDI,6.2986,2
EDUKY,KANS,9.4831,2
EDUKY,LOSA,25.4796,3
EDUKY,MASS,16.3431,3
EDUKY,MAX,18.3356,4
EDUKY,MICH,6.5341,2
EDUKY,NCSA,5.2191,2
EDUKY,NEWY,14.9236,2
EDUKY,PRIN,15.5906,3
EDUKY,PSC,20.5316,4
EDUKY,RUTG,15.4361,3
EDUKY,SALT,19.3586,2
EDUKY,SEAT,37.7581,4
EDUKY,SRI,29.5481,4
EDUKY,STAR,3.9846,1
EDUKY,TACC,15.1278,2
EDUKY,UCSD,26.6281,4
EDUKY,UTAH,19.4656,3
EDUKY,WASH,17.4651,3
FIU,ATLA,6.2825,1
FIU,CLEM,20.8350,3
FIU,DALL,14.6235,2
FIU,EDC,27.4155,6
FIU,EDUKY,30.1156,5
FIU,GATECH,19.6470,3
FIU,GPN,19.2995,4
FIU,HAWI,56.6795,4
FIU,INDI,28.4450,5
FIU,KANS,19.1620,3
FIU,LOSA,32.1180,3
FIU,MASS,16.6115,4
FIU,MAX,13.5210,3
FIU,MICH,28.6805,5
FIU,NCSA,27.3655,5
FIU,NEWY,15.1920,3
FIU,PRIN,15.8590,4
FIU,PSC,15.7170,3
FIU,RUTG,15.7045,4
FIU,SALT,29.0915,4
FIU,SEAT,44.3965,4
FIU,SRI,36.1865,4
FIU,STAR,26.1310,4
FIU,TACC,37.2742,5
FIU,UCSD,33.2665,4
FIU,UTAH,29.1985,5
FIU,WASH,12.6505,2
GATECH,ATLA,13.3645,2
GATECH,CLEM,15.1810,2
GATECH,DALL,21.7055,3
GATECH,EDC,21.7615,5
GATECH,EDUKY,24.4616,4
GATECH,FIU,19.6470,3
GATECH,GPN,26.3815,5
GATECH,HAWI,63.7615,5
GATECH,INDI,22.7910,4
GATECH,KANS,26.2440,4
GATECH,LOSA,39.2000,4
GATECH,MASS,10.9575,3
GATECH,MAX,7.8670,2
GATECH,MICH,23.0265,4
GATECH,NCSA,21.7115,4
GATECH,NEWY,9.5380,2
GATECH,PRIN,10.2050,3
GATECH,PSC,10.0630,2
GATECH,RUTG,10.0505,3
GATECH,SALT,35.8510,4
GATECH,SEAT,51.4785,5
GATECH,SRI,43.2685,5
GATECH,STAR,20.4770,3
GATECH,TACC,31.6202,4
GATECH,UCSD,40.3485,5
GATECH,UTAH,35.9580,5
GATECH,WASH,6.9965,1
GPN,ATLA,13.0170,3
GPN,CLEM,27.5695,5
GPN,DALL,4.6760,2
GPN,EDC,6.9205,4
GPN,EDUKY,9.6206,3
GPN,FIU,19.2995,4
GPN,GATECH,26.3815,5
GPN,HAWI,40.7495,4
GPN,INDI,7.9500,3
GPN,KANS,0.1375,1
GPN,LOSA,16.1880,3
GPN,MASS,17.9945,4
GPN,MAX,20.2555,5
GPN,MICH,8.1855,3
GPN,NCSA,6.8705,3
GPN,NEWY,16.5750,3
GPN,PRIN,17.2420,4
GPN,PSC,22.4515,5
GPN,RUTG,17.0875,4
GPN,SALT,10.0670,2
GPN,SEAT,34.4490,4
GPN,SRI,20.2565,4
GPN,STAR,5.6360,2
GPN,TACC,16.7792,3
GPN,UCSD,17.3365,4
GPN,UTAH,10.1740,3
GPN,WASH,19.3850,4
HAWI,ATLA,50.3970,3
HAWI,CLEM,64.9495,5
HAWI,DALL,42.0560,2
HAWI,EDC,47.3410,5
HAWI,EDUKY,50.0411,4
HAWI,FIU,56.6795,4
HAWI,GATECH,63.7615,5
HAWI,GPN,40.7495,4
HAWI,INDI,48.3705,4
HAWI,KANS,40.6120,3
HAWI,LOSA,24.5615,1
HAWI,MASS,58.4150,5
HAWI,MAX,57.6355,5
HAWI,MICH,48.6060,4
HAWI,NCSA,47.2910,4
HAWI,NEWY,56.9955,4
HAWI,PRIN,57.6625,5
HAWI,PSC,59.8315,5
HAWI,RUTG,57.5080,5
HAWI,SALT,30.6825,2
HAWI,SEAT,36.5115,1
HAWI,SRI,28.6300,2
HAWI,STAR,46.0565,3
HAWI,TACC,57.1997,4
HAWI,UCSD,25.7100,2
HAWI,UTAH,30.7895,3
HAWI,WASH,56.7650,4
INDI,ATLA,22.1625,4
INDI,CLEM,23.9790,4
INDI,DALL,12.3510,3
INDI,EDC,3.5985,3
INDI,EDUKY,6.2986,2
INDI,FIU,28.4450,5
